0    0    -1    
0    -1    -1    
0    0    -1    
0    -1    -1    
-1    -1    -1    
0    -1    -1    
0    0    -1    
0    0    -2    
1    0    -2    
1    0    -1    
0    0    -1    
0    0    0    
0    1    0    
0    1    -1    
0    0    -1    
1    0    -1    
1    -1    -1    
2    -1    -1    
2    -1    -2    
3    -1    -2    
3    -1    -3    
3    0    -3    
3    -1    -3    
3    -2    -3    
2    -2    -3    
2    -1    -3    
1    -1    -3    
0    -1    -3    
0    -2    -3    
0    -3    -3    
-1    -3    -3    
0    -3    -3    
1    -3    -3    
2    -3    -3    
2    -3    -4    
2    -3    -5    
2    -3    -4    
2    -2    -4    
3    -2    -4    
3    -2    -5    
3    -1    -5    
2    -1    -5    
3    -1    -5    
3    -2    -5    
3    -1    -5    
3    -1    -6    
3    -1    -7    
3    0    -7    
4    0    -7    
4    0    -6    
4    0    -7    
3    0    -7    
3    1    -7    
3    1    -6    
3    0    -6    
3    0    -5    
3    0    -4    
3    0    -3    
3    1    -3    
3    1    -4    
3    1    -5    
3    1    -6    
3    2    -6    
3    2    -7    
3    2    -6    
2    2    -6    
2    1    -6    
2    0    -6    
3    0    -6    
3    -1    -6    
2    -1    -6    
2    -1    -7    
2    -2    -7    
2    -2    -8    
2    -2    -9    
3    -2    -9    
3    -3    -9    
3    -3    -10    
3    -3    -9    
3    -3    -10    
3    -4    -10    
3    -3    -10    
3    -2    -10    
4    -2    -10    
4    -3    -10    
4    -3    -11    
4    -2    -11    
4    -2    -12    
3    -2    -12    
3    -3    -12    
3    -3    -11    
2    -3    -11    
1    -3    -11    
1    -3    -12    
1    -3    -11    
2    -3    -11    
3    -3    -11    
3    -3    -10    
3    -2    -10    
3    -2    -9    
