-4.9875 0 0
-4.9625 0 0
-4.9375 0 0
-4.9125 0 0
-4.8875 0 0
-4.8625 0 0
-4.8375 0 0
-4.8125 0 0
-4.7875 0 0
-4.7625 0 0
-4.7375 0 0
-4.7125 0 0
-4.6875 0 0
-4.6625 0 0
-4.6375 0 0
-4.6125 0 0
-4.5875 0 0
-4.5625 0 0
-4.5375 0 0
-4.5125 0 0
-4.4875 0 0
-4.4625 0 0
-4.4375 0 0
-4.4125 0 0
-4.3875 0 0
-4.3625 0 0
-4.3375 0 0
-4.3125 0 0
-4.2875 0 0
-4.2625 0 0
-4.2375 0 0
-4.2125 0 0
-4.1875 0 0
-4.1625 0 0
-4.1375 0 0
-4.1125 0 0
-4.0875 0 0
-4.0625 0 0
-4.0375 0 0
-4.0125 0 0
-3.9875 0 0
-3.9625 0 0
-3.9375 0 0
-3.9125 0 0
-3.8875 0 0
-3.8625 0 0
-3.8375 0 0
-3.8125 0 0
-3.7875 0 0
-3.7625 0 0
-3.7375 0 0
-3.7125 0 0
-3.6875 0 0
-3.6625 0 0
-3.6375 0 0
-3.6125 0 0
-3.5875 0 0
-3.5625 0 0
-3.5375 0 0
-3.5125 0 0
-3.4875 0 0
-3.4625 0 0
-3.4375 0 0
-3.4125 0 0
-3.3875 0 0
-3.3625 0 0
-3.3375 0 0
-3.3125 0 0
-3.2875 0 0
-3.2625 0 0
-3.2375 0 0
-3.2125 0 0
-3.1875 0 0
-3.1625 0 0
-3.1375 0 0
-3.1125 0 0
-3.0875 0 0
-3.0625 0 0
-3.0375 0 0
-3.0125 0 0
-2.9875 0 0
-2.9625 0 0
-2.9375 0 0
-2.9125 0 0
-2.8875 0 0
-2.8625 0 0
-2.8375 0 0
-2.8125 0 0
-2.7875 8.19672e-06 7.98918e-06
-2.7625 0 0
-2.7375 0 0
-2.7125 0 0
-2.6875 0 0
-2.6625 0 0
-2.6375 0 0
-2.6125 0 0
-2.5875 8.19672e-06 7.98918e-06
-2.5625 0 0
-2.5375 0 0
-2.5125 0 0
-2.4875 4.09836e-05 1.58729e-05
-2.4625 1.63934e-05 1.09971e-05
-2.4375 4.09836e-05 2.28187e-05
-2.4125 9.01639e-05 3.75174e-05
-2.3875 4.91803e-05 1.67983e-05
-2.3625 0.000122951 3.25297e-05
-2.3375 0.000155738 4.2552e-05
-2.3125 0.000295082 7.74146e-05
-2.2875 0.000295082 6.51626e-05
-2.2625 0.000401639 7.55478e-05
-2.2375 0.000590164 6.17752e-05
-2.2125 0.000860656 0.000114094
-2.1875 0.000991803 0.000101371
-2.1625 0.00112295 8.99961e-05
-2.1375 0.00181967 0.000115861
-2.1125 0.00218852 0.000181174
-2.0875 0.00269672 0.000169763
-2.0625 0.00319672 0.000159573
-2.0375 0.00391803 0.000196003
-2.0125 0.00518033 0.000240766
-1.9875 0.00646721 0.000273696
-1.9625 0.0074918 0.000253463
